,StaticClassifierStates,HmmStates,target
0,Lying,Lying,Lying
1,Lying,Lying,Lying
2,Lying,Lying,Lying
3,Lying,Lying,Lying
4,Lying,Lying,Lying
5,Lying,Lying,Lying
6,Lying,Lying,Lying
7,Lying,Lying,Lying
8,Lying,Lying,Lying
9,Lying,Lying,Lying
10,Lying,Lying,Lying
11,Lying,Lying,Lying
12,Lying,Lying,Lying
13,Lying,Lying,Lying
14,Lying,Lying,Lying
15,Lying,Lying,Lying
16,Lying,Lying,Lying
17,Lying,Lying,Lying
18,Lying,Lying,Lying
19,Lying,Lying,Lying
20,Lying,Lying,Lying
21,Lying,Lying,Lying
22,Lying,Lying,Lying
23,Lying,Lying,Lying
24,Sitting,Sitting,Sitting
25,Sitting,Sitting,Sitting
26,Wheeling,Sitting,Sitting
27,Sitting,Sitting,Sitting
28,Sitting,Sitting,Sitting
29,Sitting,Sitting,Sitting
30,Sitting,Sitting,Sitting
31,Sitting,Sitting,Sitting
32,Sitting,Sitting,Sitting
33,Sitting,Sitting,Sitting
34,Sitting,Sitting,Sitting
35,Sitting,Sitting,Sitting
36,Sitting,Sitting,Sitting
37,Wheeling,Sitting,Sitting
38,Sitting,Sitting,Sitting
39,Wheeling,Sitting,Sitting
40,Wheeling,Sitting,Standing
41,Standing,Standing,Standing
42,Standing,Standing,Standing
43,Standing,Standing,Standing
44,Standing,Standing,Standing
45,Standing,Standing,Standing
46,Standing,Standing,Standing
47,Standing,Standing,Standing
48,Standing,Standing,Standing
49,Standing,Standing,Standing
50,Standing,Standing,Standing
51,Standing,Standing,Standing
52,Standing,Standing,Standing
53,Standing,Standing,Standing
54,Standing,Standing,Standing
55,Standing,Standing,Standing
56,Standing,Standing,Standing
57,Standing,Standing,Standing
58,Standing,Standing,Standing
59,Standing,Standing,Standing
60,Standing,Standing,Standing
61,Walking,StairClimbing,Wheeling
62,Standing,StairClimbing,Wheeling
63,StairClimbing,StairClimbing,Wheeling
64,Sitting,StairClimbing,Wheeling
